participant_id,order,item_id,type,difficulty,gold,language
1,1,T18,陷阱,易,False,en
1,2,T89,陷阱,中,True,en
1,3,D50,学科,中,True,en
1,4,H71,幻觉,难,True,en
1,5,T06,陷阱,中,False,en
1,6,T17,陷阱,易,False,en
1,7,D09,学科,难,True,en
1,8,H11,幻觉,中,True,en
1,9,D78,学科,中,False,en
1,10,O99,常规,难,False,en
1,11,D64,学科,难,True,en
1,12,T82,陷阱,难,True,en
1,13,D77,学科,中,False,en
1,14,H07,幻觉,易,False,en
1,15,D10,学科,易,True,en
1,16,O56,常规,易,False,en
1,17,D45,学科,易,False,en
1,18,H61,幻觉,易,True,en
1,19,O83,常规,中,True,en
1,20,T52,陷阱,中,False,en
1,21,O67,常规,难,False,en
1,22,O23,常规,难,True,en
1,23,O32,常规,中,True,en
1,24,O02,常规,易,False,en
1,25,T20,陷阱,易,False,en
1,26,O06,常规,中,True,en
1,27,H65,幻觉,中,True,en
1,28,H51,幻觉,难,False,en
1,29,T95,陷阱,难,True,en
1,30,D93,学科,易,False,en
1,31,H69,幻觉,易,True,en
1,32,H26,幻觉,中,False,en
1,33,O54,常规,易,False,en
1,34,H21,幻觉,难,False,en
1,35,T71,陷阱,难,False,en
1,36,D90,学科,难,False,en
2,1,D64,学科,难,True,en
2,2,H94,幻觉,中,True,en
2,3,T63,陷阱,易,False,en
2,4,H21,幻觉,难,False,en
2,5,T54,陷阱,中,False,en
2,6,H63,幻觉,易,True,en
2,7,H10,幻觉,中,True,en
2,8,T50,陷阱,中,False,en
2,9,O57,常规,难,True,en
2,10,O92,常规,难,True,en
2,11,H80,幻觉,难,True,en
2,12,O59,常规,易,True,en
2,13,T74,陷阱,难,False,en
2,14,H30,幻觉,难,False,en
2,15,D94,学科,难,True,en
2,16,H89,幻觉,易,True,en
2,17,T75,陷阱,难,False,en
2,18,O08,常规,中,False,en
2,19,D41,学科,中,False,en
2,20,O100,常规,难,True,en
2,21,D90,学科,难,False,en
2,22,D13,学科,易,True,en
2,23,D32,学科,中,True,en
2,24,D11,学科,中,True,en
2,25,H61,幻觉,易,True,en
2,26,O75,常规,中,False,en
2,27,O83,常规,中,True,en
2,28,O96,常规,易,True,en
2,29,T26,陷阱,中,False,en
2,30,D67,学科,易,True,en
2,31,T11,陷阱,易,True,en
2,32,H64,幻觉,中,True,en
2,33,T67,陷阱,易,False,en
2,34,T43,陷阱,难,False,en
2,35,O86,常规,易,True,en
2,36,D10,学科,易,True,en
3,1,O40,常规,难,True,en
3,2,H74,幻觉,易,True,en
3,3,T15,陷阱,难,False,en
3,4,D03,学科,难,True,en
3,5,H99,幻觉,难,True,en
3,6,D93,学科,易,False,en
3,7,T80,陷阱,难,True,en
3,8,D15,学科,难,True,en
3,9,T79,陷阱,难,True,en
3,10,H89,幻觉,易,True,en
3,11,D67,学科,易,True,en
3,12,D08,学科,中,True,en
3,13,O71,常规,中,False,en
3,14,T16,陷阱,易,False,en
3,15,O93,常规,易,True,en
3,16,O67,常规,难,False,en
3,17,H72,幻觉,中,True,en
3,18,D58,学科,中,False,en
3,19,H81,幻觉,难,True,en
3,20,O02,常规,易,False,en
3,21,O05,常规,易,True,en
3,22,T100,陷阱,中,True,en
3,23,T85,陷阱,易,True,en
3,24,D27,学科,难,True,en
3,25,T17,陷阱,易,False,en
3,26,O23,常规,难,True,en
3,27,H63,幻觉,易,True,en
3,28,H52,幻觉,中,False,en
3,29,H41,幻觉,中,False,en
3,30,T66,陷阱,中,False,en
3,31,O94,常规,中,True,en
3,32,T77,陷阱,中,True,en
3,33,D35,学科,中,True,en
3,34,D16,学科,易,False,en
3,35,H95,幻觉,难,True,en
3,36,O75,常规,中,False,en
