model,tier,vendor,n,acc,overconf,ece,ece_lo,ece_hi,auroc2,estimable,m_ratio,m_lo,m_hi
human,human,human,1647,0.734669095324833,0.08568609593199761,0.08568609593199757,0.06166755006768594,0.11270513696230909,0.7675397620893772,True,1.3695381228779735,1.2053742464594663,1.543065769760179
local-gemma-e2b,weak,google(local),1600,0.93375,0.016249999999999987,0.06749999999999999,0.05647851562499996,0.08054687499999998,0.6483070647369351,True,0.3753312509806626,0.2657089179829192,0.4846146648774215
local-qwen3-1.7b,unspecified,other,1565,0.9252396166134186,0.02571884984025552,0.054952076677316296,0.04744009584664539,0.07044928115015972,0.5967736223261085,True,0.3097211696684001,0.1573494791862983,0.4541211689632661
local-qwen3-4b,unspecified,other,1566,0.9776500638569604,-0.036079182630906814,0.041187739463601554,0.033604725415070244,0.04940932311621965,0.78294298777643,True,0.5823693529650962,0.4082237328616916,0.733115794396596
local-qwen3-14b,unspecified,other,1599,0.983739837398374,-0.03900875547217009,0.0465134459036898,0.0393976704190119,0.05355104752970605,0.731600567264903,False,,,
local-gemma-e4b,mid,google(local),1599,0.9718574108818011,0.0067229518449031245,0.032051282051282076,0.025949812382739256,0.04252853345841149,0.5981695981695981,True,0.6904729676009096,0.5047876020833226,0.8183495059139068
qwen-turbo,mid,alibaba,1600,0.985625,0.002187500000000009,0.02640624999999995,0.019765625000000044,0.03320507812500004,0.5061895177965868,False,,,
gpt-4o-mini,mid,openai,1589,0.9874134675896791,-0.007473253618628051,0.01754247954688486,0.012348568281938286,0.023365717432347374,0.7231357552581262,False,,,
gpt-5.4-mini,mid,openai,1600,0.990625,0.004453125000000058,0.008671874999999982,0.004921874999999991,0.013595703125000051,0.6885383806519453,False,,,
deepseek-v4-flash-nothink,mid,deepseek,1600,0.99375,-0.007421875000000022,0.016171874999999985,0.011873046874999968,0.02070507812500004,0.6063207547169811,False,,,
deepseek-v4-flash,mid,deepseek,1584,0.9943181818181818,-0.029908459595959558,0.029908459595959596,0.02454229797979797,0.03503985164141415,0.8793650793650793,False,,,
gpt-4o,strong,openai,1600,0.99625,-0.01953125,0.019531250000000003,0.015623046875000003,0.02359375,0.9506482643245504,False,,,
local-gemma-26b-a4b-qat,strong,google(local),1556,0.9993573264781491,-0.006105398457583622,0.007390745501285305,0.005460716580976866,0.009720437017994875,0.477491961414791,False,,,
deepseek-v4-pro-nothink,frontier,deepseek,1600,0.994375,-0.003750000000000031,0.012500000000000022,0.008515625000000042,0.016640624999999982,0.5766114952161464,False,,,
deepseek-v4-pro,frontier,deepseek,1583,0.9949463044851548,-0.028742893240682243,0.028742893240682254,0.024557801642451048,0.03285099494630449,0.8862698412698413,False,,,
qwen3.7-plus-nothink,frontier,alibaba,1600,0.996875,0.001796875000000031,0.0032031250000000076,0.001171874999999975,0.006095703125000046,0.5949843260188088,False,,,
qwen3.7-max-nothink,frontier,alibaba,1600,0.9975,-0.0011718750000000444,0.006171875000000044,0.0039062499999999835,0.008671874999999978,0.48527568922305764,False,,,
gpt-5.5,frontier,openai,1594,0.9993726474278545,-0.004077791718946067,0.004077791718946046,0.0023525721455457966,0.005569714554579672,0.9814814814814815,False,,,
qwen3.7-plus,frontier,alibaba,1600,0.999375,-0.005624999999999991,0.005625,0.00375,0.00765625,0.9774859287054409,False,,,
qwen3.7-max,frontier,alibaba,1600,1.0,-0.0029687499999999645,0.00296875,0.002109375,0.00390625,,False,,,
