model,p_conf1,p_conf2,p_conf3,p_conf4,p_conf5
human,0.13964784456587737,0.10746812386156648,0.18397085610200364,0.18822100789313903,0.3806921675774135
local-gemma-e2b,0.00125,0.04875,0.056875,0.135,0.758125
local-qwen3-1.7b,0.0019169329073482429,0.03258785942492013,0.044089456869009586,0.1987220447284345,0.7226837060702875
local-qwen3-4b,0.001277139208173691,0.02681992337164751,0.05810983397190294,0.2656449553001277,0.6481481481481481
local-qwen3-14b,0.0012507817385866166,0.046278924327704814,0.05315822388993121,0.19199499687304566,0.7073170731707317
local-gemma-e4b,0.0025015634771732333,0.020637898686679174,0.013758599124452783,0.07191994996873045,0.8911819887429644
qwen-turbo,0.00875,0.020625,0.0,0.000625,0.97
gpt-4o-mini,0.0,0.0006293266205160479,0.0006293266205160479,0.15733165512901195,0.8414096916299559
gpt-5.4-mini,0.000625,0.003125,0.00125,0.025,0.97
deepseek-v4-flash-nothink,0.001875,0.006875,0.005625,0.07,0.915625
deepseek-v4-flash,0.0031565656565656565,0.03282828282828283,0.011994949494949494,0.14962121212121213,0.80239898989899
gpt-4o,0.0025,0.009375,0.0175,0.113125,0.8575
local-gemma-26b-a4b-qat,0.0,0.0038560411311053984,0.0012853470437017994,0.03984575835475578,0.9550128534704371
deepseek-v4-pro-nothink,0.000625,0.0,0.004375,0.06375,0.93125
deepseek-v4-pro,0.0,0.006948831332912192,0.0012634238787113076,0.24699936828806066,0.7447883765003158
qwen3.7-plus-nothink,0.0,0.0,0.0,0.010625,0.989375
qwen3.7-max-nothink,0.0,0.0,0.0,0.029375,0.970625
gpt-5.5,0.0,0.0,0.0012547051442910915,0.03513174404015056,0.9636135508155583
qwen3.7-plus,0.0,0.004375,0.003125,0.030625,0.961875
qwen3.7-max,0.0,0.0,0.0,0.02375,0.97625
