model,vendor,tier,thinking,condition,n,acc,mean_conf,stated,overconf,ece,conf5_n,conf5_acc,conf5_wrong,n_wrong,err_rate
human,human,human,False,na,1647,0.734669095324833,3.5628415300546448,0.8203551912568307,0.08568609593199761,0.08568609593199757,627,0.9298245614035088,44,437,0.26533090467516696
local-gemma-e2b,google(local),weak,True,na,1600,0.93375,4.6,0.95,0.016249999999999987,0.06749999999999999,1213,0.9612530915086562,47,106,0.06625000000000003
local-qwen3-1.7b,other,unspecified,True,na,1565,0.9252396166134186,4.607667731629393,0.9509584664536741,0.02571884984025552,0.054952076677316296,1131,0.9442970822281167,63,117,0.07476038338658142
local-qwen3-4b,other,unspecified,True,na,1566,0.9776500638569604,4.532567049808429,0.9415708812260536,-0.036079182630906814,0.041187739463601554,1015,0.9960591133004926,4,35,0.022349936143039595
local-qwen3-14b,other,unspecified,True,na,1599,0.983739837398374,4.557848655409631,0.9447310819262039,-0.03900875547217009,0.0465134459036898,1131,0.9946949602122016,6,26,0.016260162601625994
local-gemma-e4b,google(local),mid,True,na,1599,0.9718574108818011,4.828642901813634,0.9785803627267042,0.0067229518449031245,0.032051282051282076,1425,0.9782456140350877,31,45,0.02814258911819889
qwen-turbo,alibaba,mid,False,na,1600,0.985625,4.9025,0.9878125,0.002187500000000009,0.02640624999999995,1552,0.9858247422680413,22,23,0.014375000000000027
gpt-4o-mini,openai,mid,False,na,1589,0.9874134675896791,4.839521711768408,0.979940213971051,-0.007473253618628051,0.01754247954688486,1337,0.994016454749439,8,20,0.012586532410320928
gpt-5.4-mini,openai,mid,True,na,1600,0.990625,4.960625,0.995078125,0.004453125000000058,0.008671874999999982,1552,0.9942010309278351,9,15,0.009375000000000022
deepseek-v4-flash-nothink,deepseek,mid,False,nothink,1600,0.99375,4.890625,0.986328125,-0.007421875000000022,0.016171874999999985,1465,0.995221843003413,7,10,0.006249999999999978
deepseek-v4-flash,deepseek,mid,True,think,1584,0.9943181818181818,4.715277777777778,0.9644097222222222,-0.029908459595959558,0.029908459595959596,1271,1.0,0,9,0.005681818181818232
gpt-4o,openai,strong,False,na,1600,0.99625,4.81375,0.97671875,-0.01953125,0.019531250000000003,1372,1.0,0,6,0.003750000000000031
local-gemma-26b-a4b-qat,google(local),strong,True,na,1556,0.9993573264781491,4.946015424164524,0.9932519280205655,-0.006105398457583622,0.007390745501285305,1486,0.9993270524899058,1,1,0.0006426735218508783
deepseek-v4-pro-nothink,deepseek,frontier,False,nothink,1600,0.994375,4.925,0.990625,-0.003750000000000031,0.012500000000000022,1490,0.9953020134228188,7,9,0.005624999999999991
deepseek-v4-pro,deepseek,frontier,True,think,1583,0.9949463044851548,4.72962728995578,0.9662034112444725,-0.028742893240682243,0.028742893240682254,1179,1.0,0,8,0.005053695514845247
qwen3.7-plus-nothink,alibaba,frontier,False,nothink,1600,0.996875,4.989375,0.998671875,0.001796875000000031,0.0032031250000000076,1583,0.9974731522425774,4,5,0.0031250000000000444
qwen3.7-max-nothink,alibaba,frontier,False,nothink,1600,0.9975,4.970625,0.996328125,-0.0011718750000000444,0.006171875000000044,1553,0.9974243399871217,4,4,0.0024999999999999467
gpt-5.5,openai,frontier,True,na,1594,0.9993726474278545,4.962358845671267,0.9952948557089084,-0.004077791718946067,0.004077791718946046,1536,1.0,0,1,0.0006273525721455231
qwen3.7-plus,alibaba,frontier,True,think,1600,0.999375,4.95,0.99375,-0.005624999999999991,0.005625,1539,1.0,0,1,0.0006249999999999867
qwen3.7-max,alibaba,frontier,True,think,1600,1.0,4.97625,0.99703125,-0.0029687499999999645,0.00296875,1562,1.0,0,0,0.0
