model,n_fic,n_real,fic_acc,real_acc,hit_rate,fa_rate,dprime,criterion
qwen3.7-plus-nothink,212,188,1.0,1.0,0.9976525821596244,0.0026455026455026454,5.616020136917915,-0.0192488107544464
deepseek-v4-pro-nothink,212,188,1.0,1.0,0.9976525821596244,0.0026455026455026454,5.616020136917915,-0.0192488107544464
qwen3.7-max-nothink,212,188,1.0,1.0,0.9976525821596244,0.0026455026455026454,5.616020136917915,-0.0192488107544464
qwen3.7-max,212,188,1.0,1.0,0.9976525821596244,0.0026455026455026454,5.616020136917915,-0.0192488107544464
qwen-turbo,212,188,1.0,1.0,0.9976525821596244,0.0026455026455026454,5.616020136917915,-0.0192488107544464
local-gemma-26b-a4b-qat,177,188,1.0,1.0,0.9971910112359551,0.0026455026455026454,5.5580444813249255,0.009739017042048381
qwen3.7-plus,212,188,0.9952830188679245,1.0,0.9929577464788732,0.0026455026455026454,5.24386210400355,0.1668302057027362
gpt-5.5,206,188,0.9951456310679612,1.0,0.9927536231884058,0.0026455026455026454,5.233573581009622,0.17197446719969967
deepseek-v4-flash-nothink,212,188,1.0,0.9840425531914894,0.9976525821596244,0.018518518518518517,4.912614445245233,-0.3709516565907873
gpt-4o,212,188,0.9764150943396226,0.9946808510638298,0.9741784037558685,0.007936507936507936,4.357918433362297,0.23286307920218374
deepseek-v4-flash,210,186,0.9904761904761905,0.9838709677419355,0.9881516587677726,0.01871657754010695,4.343019871809661,-0.09050173125899241
deepseek-v4-pro,199,187,0.9849246231155779,0.9893048128342246,0.9825,0.013297872340425532,4.3257587659216,0.054520983791690014
local-qwen3-14b,212,187,0.9622641509433962,0.9946524064171123,0.960093896713615,0.007978723404255319,4.161664081975795,0.32905530839141484
gpt-5.4-mini,212,188,0.9811320754716981,0.9627659574468085,0.9788732394366197,0.03968253968253968,3.7853964914505176,-0.1383162798416595
local-gemma-e4b,211,188,0.9383886255924171,0.9840425531914894,0.9363207547169812,0.018518518518518517,3.609957196172142,0.28037696794575817
gpt-4o-mini,209,186,0.9473684210526315,0.9731182795698925,0.9452380952380952,0.029411764705882353,3.489847110909319,0.1445864048787705
local-qwen3-4b,195,179,0.9435897435897436,0.9553072625698324,0.9413265306122449,0.04722222222222222,3.238412384331979,0.05319902289577305
local-gemma-e2b,212,188,0.9339622641509434,0.7712765957446809,0.931924882629108,0.23015873015873015,2.2286057062173823,-0.37597864684207055
local-qwen3-1.7b,197,179,0.8477157360406091,0.8044692737430168,0.8459595959595959,0.19722222222222222,1.870842388295363,-0.08383615196533717
human,197,212,0.26903553299492383,0.7311320754716981,0.2702020202020202,0.2699530516431925,0.0007528691252570718,0.6125785526306213
