model,vendor,tier,n,acc,mean_conf,ece,overconf,conf5_wrong
deepseek-v4-flash,deepseek,mid,1584,0.9943181818181818,4.715277777777778,0.029908459595959596,-0.029908459595959558,0
deepseek-v4-flash-nothink,deepseek,mid,1600,0.99375,4.890625,0.016171874999999985,-0.007421875000000022,7
deepseek-v4-pro,deepseek,frontier,1583,0.9949463044851548,4.72962728995578,0.028742893240682254,-0.028742893240682243,0
deepseek-v4-pro-nothink,deepseek,frontier,1600,0.994375,4.925,0.012500000000000022,-0.003750000000000031,7
gpt-4o,openai,strong,1600,0.99625,4.81375,0.019531250000000003,-0.01953125,0
gpt-4o-mini,openai,mid,1589,0.9874134675896791,4.839521711768408,0.01754247954688486,-0.007473253618628051,8
gpt-5.4-mini,openai,mid,1600,0.990625,4.960625,0.008671874999999982,0.004453125000000058,9
gpt-5.5,openai,frontier,1594,0.9993726474278545,4.962358845671267,0.004077791718946046,-0.004077791718946067,0
human,human,human,756,0.7222222222222222,3.4232804232804233,0.08068783068783067,0.0806878306878307,20
local-gemma-26b-a4b-qat,google(local),strong,1556,0.9993573264781491,4.946015424164524,0.007390745501285305,-0.006105398457583622,1
local-gemma-e2b,google(local),weak,1600,0.93375,4.6,0.06749999999999999,0.016249999999999987,47
local-gemma-e4b,google(local),mid,1599,0.9718574108818011,4.828642901813634,0.032051282051282076,0.0067229518449031245,31
local-qwen3-1.7b,other,unspecified,1565,0.9252396166134186,4.607667731629393,0.054952076677316296,0.02571884984025552,63
local-qwen3-14b,other,unspecified,1015,0.9862068965517241,4.816748768472906,0.01896551724137935,-0.009113300492610832,5
local-qwen3-4b,other,unspecified,1566,0.9776500638569604,4.532567049808429,0.041187739463601554,-0.036079182630906814,4
qwen-turbo,alibaba,mid,1600,0.985625,4.9025,0.02640624999999995,0.002187500000000009,22
qwen3.7-max,alibaba,frontier,1600,1.0,4.97625,0.00296875,-0.0029687499999999645,0
qwen3.7-max-nothink,alibaba,frontier,1600,0.9975,4.970625,0.006171875000000044,-0.0011718750000000444,4
qwen3.7-plus,alibaba,frontier,1600,0.999375,4.95,0.005625,-0.005624999999999991,0
qwen3.7-plus-nothink,alibaba,frontier,1600,0.996875,4.989375,0.0032031250000000076,0.001796875000000031,4
