model,n,ok,ok_rate,fail_truncated,fail_ratelimit,fail_access,fail_other,vendor,thinking,condition,tier
deepseek-v4-flash,1600,1584,0.99,16,0,0,0,deepseek,True,think,mid
deepseek-v4-flash-nothink,1600,1600,1.0,0,0,0,0,deepseek,False,nothink,mid
deepseek-v4-pro,1600,1583,0.989,17,0,0,0,deepseek,True,think,frontier
deepseek-v4-pro-nothink,1600,1600,1.0,0,0,0,0,deepseek,False,nothink,frontier
gpt-4o,1600,1600,1.0,0,0,0,0,openai,False,na,strong
gpt-4o-mini,1589,1589,1.0,0,0,0,0,openai,False,na,mid
gpt-5.4-mini,1600,1600,1.0,0,0,0,0,openai,True,na,mid
gpt-5.5,1600,1594,0.996,6,0,0,0,openai,True,na,frontier
human,1657,1647,0.994,0,0,0,10,human,False,na,human
local-gemma-26b-a4b-qat,1556,1556,1.0,0,0,0,0,google(local),True,na,strong
local-gemma-e2b,1600,1600,1.0,0,0,0,0,google(local),True,na,weak
local-gemma-e4b,1599,1599,1.0,0,0,0,0,google(local),True,na,mid
local-qwen3-1.7b,1600,1565,0.978,35,0,0,0,other,True,na,unspecified
local-qwen3-1.7b-nothink,1600,1346,0.841,254,0,0,0,other,False,na,unspecified
local-qwen3-14b,1600,1599,0.999,0,0,0,1,other,True,na,unspecified
local-qwen3-14b-nothink,1600,1512,0.945,88,0,0,0,other,False,na,unspecified
local-qwen3-4b,1600,1566,0.979,28,0,0,6,other,True,na,unspecified
local-qwen3-4b-nothink,1600,1372,0.858,228,0,0,0,other,False,na,unspecified
qwen-turbo,1600,1600,1.0,0,0,0,0,alibaba,False,na,mid
qwen1.5-0.5b,32,0,0.0,0,0,1,31,alibaba,True,na,unspecified
qwen1.5-1.8b,4,0,0.0,0,0,0,4,alibaba,True,na,unspecified
qwen1.5-14b,4,0,0.0,0,0,0,4,alibaba,True,na,unspecified
qwen1.5-7b,4,0,0.0,0,0,0,4,alibaba,True,na,unspecified
qwen2-7b,4,0,0.0,0,0,0,4,alibaba,True,na,unspecified
qwen2.5-0.5b,1600,0,0.0,0,6,1594,0,alibaba,False,na,weak
qwen2.5-1.5b,1600,0,0.0,0,6,1594,0,alibaba,False,na,weak
qwen2.5-3b,1600,0,0.0,0,6,1594,0,alibaba,False,na,weak
qwen2.5-7b,1600,0,0.0,0,10,1590,0,alibaba,False,na,mid
qwen3.7-max,1600,1600,1.0,0,0,0,0,alibaba,True,think,frontier
qwen3.7-max-nothink,1600,1600,1.0,0,0,0,0,alibaba,False,nothink,frontier
qwen3.7-plus,1600,1600,1.0,0,0,0,0,alibaba,True,think,frontier
qwen3.7-plus-nothink,1600,1600,1.0,0,0,0,0,alibaba,False,nothink,frontier
