model,difficulty,n,accuracy,mean_confidence,overconfidence,ece
human,易,551,0.8257713248638838,3.9455535390199636,0.042422867513611684,0.051497277676951
human,中,546,0.7582417582417582,3.619047619047619,0.06913919413919412,0.08241758241758243
human,难,550,0.62,3.1236363636363635,0.1454545454545455,0.14545454545454545
repl-gemma4-e2b-q4km,易,352,0.9545454545454546,4.982954545454546,0.043323863636363646,0.045454545454545484
repl-gemma4-e2b-q4km,中,772,0.9727979274611399,4.8380829015544045,0.0069624352331606465,0.042260362694300536
repl-gemma4-e2b-q4km,难,476,0.884453781512605,4.724789915966387,0.08114495798319332,0.1383928571428572
repl-gemma4-e4b-q4km,易,352,0.9772727272727273,4.9914772727272725,0.021661931818181768,0.02379261363636359
repl-gemma4-e4b-q4km,中,772,0.9455958549222798,4.893782383419689,0.04112694300518127,0.05731865284974097
repl-gemma4-e4b-q4km,难,476,0.907563025210084,4.773109243697479,0.06407563025210083,0.06617647058823525
repl-gemma4-26b-a4b-qat,易,352,1.0,4.994318181818182,-0.0007102272727272929,0.0007102272727272727
repl-gemma4-26b-a4b-qat,中,770,0.9948051948051948,4.945454545454545,-0.0016233766233766378,0.012012987012986993
repl-gemma4-26b-a4b-qat,难,476,0.9978991596638656,4.92436974789916,-0.007352941176470562,0.007352941176470587
repl-qwen3-1.7b-q8,易,352,0.96875,4.880681818181818,0.016335227272727293,0.034801136363636326
repl-qwen3-1.7b-q8,中,772,0.9352331606217616,4.642487046632124,0.020077720207253846,0.057966321243523335
repl-qwen3-1.7b-q8,难,476,0.7689075630252101,4.565126050420168,0.17673319327731085,0.22347689075630253
repl-qwen3-4b-q4km,易,352,1.0,4.784090909090909,-0.026988636363636354,0.026988636363636364
repl-qwen3-4b-q4km,中,771,0.9753566796368353,4.523994811932555,-0.034857328145265876,0.05042153047989622
repl-qwen3-4b-q4km,难,476,0.9243697478991597,4.296218487394958,-0.012342436974789983,0.04175420168067226
repl-qwen3-14b-q4km,易,352,0.9971590909090909,4.903409090909091,-0.009232954545454586,0.01491477272727274
repl-qwen3-14b-q4km,中,772,0.9909326424870466,4.608808290155441,-0.0398316062176165,0.03983160621761658
repl-qwen3-14b-q4km,难,476,0.9684873949579832,4.388655462184874,-0.0449054621848739,0.07011554621848741
