model,type,n,accuracy,mean_confidence,overconfidence,ece
human,常规,413,0.7990314769975787,4.043583535108959,0.08141646489104115,0.09352300242130754
human,学科,413,0.8619854721549637,4.079903147699758,0.02300242130750607,0.04237288135593222
human,陷阱,412,0.7669902912621359,3.4927184466019416,0.044599514563106846,0.050667475728155345
human,幻觉,409,0.508557457212714,2.625916870415648,0.19468215158924207,0.19468215158924204
repl-gemma4-e2b-q4km,常规,400,0.975,4.99,0.02375000000000005,0.023750000000000018
repl-gemma4-e2b-q4km,学科,400,0.98,4.99,0.018750000000000044,0.019999999999999997
repl-gemma4-e2b-q4km,陷阱,400,0.9425,4.9475,0.05093749999999997,0.06406249999999998
repl-gemma4-e2b-q4km,幻觉,400,0.8725,4.4175,0.0546875,0.1828125
repl-gemma4-e4b-q4km,常规,400,0.955,4.9475,0.03843750000000001,0.03843749999999997
repl-gemma4-e4b-q4km,学科,400,0.9425,4.985,0.055625000000000036,0.05937500000000001
repl-gemma4-e4b-q4km,陷阱,400,0.96,4.8375,0.01968750000000008,0.040312500000000036
repl-gemma4-e4b-q4km,幻觉,400,0.9075,4.7475,0.06093749999999998,0.0740625
repl-gemma4-26b-a4b-qat,常规,400,1.0,5.0,0.0,0.0
repl-gemma4-26b-a4b-qat,学科,400,1.0,5.0,0.0,0.0
repl-gemma4-26b-a4b-qat,陷阱,400,0.99,4.97,0.006249999999999978,0.013749999999999964
repl-gemma4-26b-a4b-qat,幻觉,398,0.9974874371859297,4.8291457286432165,-0.018844221105527637,0.018844221105527647
repl-qwen3-1.7b-q8,常规,400,0.9,4.9175,0.08968750000000003,0.08968749999999996
repl-qwen3-1.7b-q8,学科,400,0.985,4.985,0.013125000000000053,0.016875000000000043
repl-qwen3-1.7b-q8,陷阱,400,0.9,4.555,0.04437499999999994,0.075625
repl-qwen3-1.7b-q8,幻觉,400,0.7875,4.23,0.11625000000000008,0.22625
repl-qwen3-4b-q4km,常规,400,0.96,4.7875,0.013437499999999991,0.026562500000000017
repl-qwen3-4b-q4km,学科,400,0.995,4.91,-0.006249999999999978,0.016249999999999983
repl-qwen3-4b-q4km,陷阱,400,0.9725,4.33,-0.05625000000000002,0.07125000000000001
repl-qwen3-4b-q4km,幻觉,399,0.9348370927318296,4.025062656641604,-0.056704260651629035,0.05670426065162905
repl-qwen3-14b-q4km,常规,400,0.99,4.89,-0.003750000000000031,0.008749999999999987
repl-qwen3-14b-q4km,学科,400,1.0,4.98,-0.0024999999999999467,0.0025
repl-qwen3-14b-q4km,陷阱,400,0.9875,4.625,-0.034375000000000044,0.05437499999999999
repl-qwen3-14b-q4km,幻觉,400,0.965,3.9375,-0.09781249999999997,0.1078125
