model,confidence,stated,accuracy,n
human,1,0.5,0.3826086956521739,230
human,2,0.625,0.5706214689265536,177
human,3,0.75,0.6534653465346535,303
human,4,0.875,0.7741935483870968,310
human,5,1.0,0.9298245614035088,627
repl-gemma4-e2b-q4km,1,0.5,1.0,8
repl-gemma4-e2b-q4km,2,0.625,1.0,49
repl-gemma4-e2b-q4km,3,0.75,0.9523809523809523,21
repl-gemma4-e2b-q4km,4,0.875,0.8048780487804879,41
repl-gemma4-e2b-q4km,5,1.0,0.9439567859554355,1481
repl-gemma4-e4b-q4km,2,0.625,1.0,1
repl-gemma4-e4b-q4km,3,0.75,1.0,7
repl-gemma4-e4b-q4km,4,0.875,0.8977272727272727,176
repl-gemma4-e4b-q4km,5,1.0,0.9463276836158192,1416
repl-gemma4-26b-a4b-qat,2,0.625,1.0,1
repl-gemma4-26b-a4b-qat,4,0.875,0.987012987012987,77
repl-gemma4-26b-a4b-qat,5,1.0,0.9973684210526316,1520
repl-qwen3-1.7b-q8,2,0.625,0.9428571428571428,70
repl-qwen3-1.7b-q8,3,0.75,0.8723404255319149,47
repl-qwen3-1.7b-q8,4,0.875,0.7918552036199095,221
repl-qwen3-1.7b-q8,5,1.0,0.9088748019017433,1262
repl-qwen3-4b-q4km,2,0.625,1.0,33
repl-qwen3-4b-q4km,3,0.75,1.0,27
repl-qwen3-4b-q4km,4,0.875,0.9328,625
repl-qwen3-4b-q4km,5,1.0,0.9857768052516411,914
repl-qwen3-14b-q4km,2,0.625,0.970873786407767,103
repl-qwen3-14b-q4km,3,0.75,0.9428571428571428,35
repl-qwen3-14b-q4km,4,0.875,0.9556451612903226,248
repl-qwen3-14b-q4km,5,1.0,0.9942339373970346,1214
